#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    
60        	76        	ok              	7.0640000000e-02	4.7120000000e+02	2.8157675015e+18	1.0858296232e+18	1.8541245076e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
61        	76        	ok              	6.0240000000e-02	4.7120000000e+02	2.4012140845e+18	9.2596795725e+17	1.8541240110e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
62        	76        	ok              	5.1370000000e-02	4.7120000000e+02	2.0476480909e+18	7.8962440179e+17	1.8541235658e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
63        	76        	ok              	4.3800000000e-02	4.7120000000e+02	1.7459014217e+18	6.7326355457e+17	1.8541231663e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
64        	76        	ok              	3.7350000000e-02	4.7120000000e+02	1.4887990498e+18	5.7411857907e+17	1.8541228094e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
65        	76        	ok              	3.1850000000e-02	4.7120000000e+02	1.2695645625e+18	4.8957635190e+17	1.8541224777e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
66        	76        	ok              	2.7160000000e-02	4.7120000000e+02	1.0826174153e+18	4.1748488909e+17	1.8541221751e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
67        	76        	ok              	2.3160000000e-02	4.7120000000e+02	9.2317428597e+17	3.5599963297e+17	1.8541219053e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
68        	76        	ok              	1.9750000000e-02	4.7120000000e+02	7.8724906888e+17	3.0358345212e+17	1.8541216649e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
69        	76        	ok              	1.6840000000e-02	4.7120000000e+02	6.7125427400e+17	2.5885292829e+17	1.8541214505e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
70        	76        	ok              	1.4360000000e-02	4.7120000000e+02	5.7239963260e+17	2.2073206949e+17	1.8541212593e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
71        	75        	ok              	1.2250000000e-02	4.7120000000e+02	4.8829502359e+17	1.8829859688e+17	1.8541248009e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
72        	75        	ok              	1.0440000000e-02	4.7120000000e+02	4.1614675995e+17	1.6047651849e+17	1.8541242830e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
73        	75        	ok              	8.9060000000e-03	4.7120000000e+02	3.5500015274e+17	1.3689692276e+17	1.8541238214e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
74        	75        	ok              	7.5950000000e-03	4.7120000000e+02	3.0274255687e+17	1.1674513007e+17	1.8541234061e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
75        	75        	ok              	6.4760000000e-03	4.7120000000e+02	2.5813827210e+17	9.9544629667e+16	1.8541230318e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
76        	75        	ok              	5.5230000000e-03	4.7120000000e+02	2.2015090649e+17	8.4895767395e+16	1.8541226953e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
77        	75        	ok              	4.7090000000e-03	4.7120000000e+02	1.8770420699e+17	7.2383517774e+16	1.8541223726e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
78        	75        	ok              	4.0160000000e-03	4.7120000000e+02	1.6008067743e+17	6.1731197150e+16	1.8541220826e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
79        	75        	ok              	3.4240000000e-03	4.7120000000e+02	1.3648309717e+17	5.2631379243e+16	1.8541218214e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
80        	75        	ok              	2.9200000000e-03	4.7120000000e+02	1.1639327241e+17	4.4884236971e+16	1.8541215874e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
